input,output,category,complexity,type
Zu welcher Kategorie gehört 'rennen_var136'?,bewegungen,bewegungen,2,categorization
Verwende 'rennen_var136' in einem Satz.,Ich kann rennen_var136.,bewegungen,2,sentence_generation
Verwende 'rennen_var136' in einem Satz.,Wir rennen_var136 zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'braungrün'?,Farbe der Sonne (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'braungrün'?,farben,farben,1,categorization
Verwende 'braungrün' in einem Satz.,Das ist braungrün.,farben,1,sentence_generation
Verwende 'braungrün' in einem Satz.,Ich sehe etwas braungrünes.,farben,1,sentence_generation
Was bedeutet 'zweineun'?,Zahl 2 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'zweineun'?,zahlen,zahlen,1,categorization
Verwende 'zweineun' in einem Satz.,Ich zähle bis zweineun.,zahlen,1,sentence_generation
Verwende 'zweineun' in einem Satz.,Zweineun Dinge.,zahlen,1,sentence_generation
Was bedeutet 'computer_var131'?,Gerät zur Kommunikation (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'computer_var131'?,objekte,objekte,1,categorization
Verwende 'computer_var131' in einem Satz.,Das ist ein computer_var131.,objekte,1,sentence_generation
Verwende 'computer_var131' in einem Satz.,Ich brauche einen computer_var131.,objekte,1,sentence_generation
Was bedeutet 'kalthungrig'?,Negative Emotion (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'kalthungrig'?,zustände,zustände,2,categorization
Verwende 'kalthungrig' in einem Satz.,Ich bin kalthungrig.,zustände,2,sentence_generation
Verwende 'kalthungrig' in einem Satz.,Du siehst kalthungrig aus.,zustände,2,sentence_generation
Was bedeutet 'autolampe'?,Möbel zum Arbeiten (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'autolampe'?,objekte,objekte,1,categorization
Verwende 'autolampe' in einem Satz.,Das ist ein autolampe.,objekte,1,sentence_generation
Verwende 'autolampe' in einem Satz.,Ich brauche einen autolampe.,objekte,1,sentence_generation
Was bedeutet 'lernen_var115'?,Problem beheben (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'lernen_var115'?,aktionen,aktionen,4,categorization
Verwende 'lernen_var115' in einem Satz.,Ich lernen_var115 darüber.,aktionen,4,sentence_generation
Verwende 'lernen_var115' in einem Satz.,Wir müssen lernen_var115.,aktionen,4,sentence_generation
Was bedeutet 'kriechengehen'?,Sehr schnell laufen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'kriechengehen'?,bewegungen,bewegungen,2,categorization
Verwende 'kriechengehen' in einem Satz.,Ich kann kriechengehen.,bewegungen,2,sentence_generation
Verwende 'kriechengehen' in einem Satz.,Wir kriechengehen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'achtsieben'?,Zahl 10 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'achtsieben'?,zahlen,zahlen,1,categorization
Verwende 'achtsieben' in einem Satz.,Ich zähle bis achtsieben.,zahlen,1,sentence_generation
Verwende 'achtsieben' in einem Satz.,Achtsieben Dinge.,zahlen,1,sentence_generation
Was bedeutet 'schwimmenlaufen'?,Sich in die Luft bewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'schwimmenlaufen'?,bewegungen,bewegungen,2,categorization
Verwende 'schwimmenlaufen' in einem Satz.,Ich kann schwimmenlaufen.,bewegungen,2,sentence_generation
Verwende 'schwimmenlaufen' in einem Satz.,Wir schwimmenlaufen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'hungrigkrank'?,Bedürfnis nach Schlaf (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'hungrigkrank'?,zustände,zustände,2,categorization
Verwende 'hungrigkrank' in einem Satz.,Ich bin hungrigkrank.,zustände,2,sentence_generation
Verwende 'hungrigkrank' in einem Satz.,Du siehst hungrigkrank aus.,zustände,2,sentence_generation
Was bedeutet 'kaltgesund'?,Nicht schläfrig (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'kaltgesund'?,zustände,zustände,2,categorization
Verwende 'kaltgesund' in einem Satz.,Ich bin kaltgesund.,zustände,2,sentence_generation
Verwende 'kaltgesund' in einem Satz.,Du siehst kaltgesund aus.,zustände,2,sentence_generation
Was bedeutet 'auto_var119'?,Gebäude zum Wohnen (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'auto_var119'?,objekte,objekte,1,categorization
Verwende 'auto_var119' in einem Satz.,Das ist ein auto_var119.,objekte,1,sentence_generation
Verwende 'auto_var119' in einem Satz.,Ich brauche einen auto_var119.,objekte,1,sentence_generation
Was bedeutet 'deshalbeinige'?,Alternative (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'deshalbeinige'?,logik,logik,5,categorization
Verwende 'deshalbeinige' in einem Satz.,Deshalbeinige das stimmt.,logik,5,sentence_generation
Verwende 'deshalbeinige' in einem Satz.,Das ist deshalbeinige wahr.,logik,5,sentence_generation
Was bedeutet 'schwarzrosa'?,Farbe der Blätter (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'schwarzrosa'?,farben,farben,1,categorization
Verwende 'schwarzrosa' in einem Satz.,Das ist schwarzrosa.,farben,1,sentence_generation
Verwende 'schwarzrosa' in einem Satz.,Ich sehe etwas schwarzrosaes.,farben,1,sentence_generation
Was bedeutet 'lampe_var126'?,Gerät zur Kommunikation (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'lampe_var126'?,objekte,objekte,1,categorization
Verwende 'lampe_var126' in einem Satz.,Das ist ein lampe_var126.,objekte,1,sentence_generation
Verwende 'lampe_var126' in einem Satz.,Ich brauche einen lampe_var126.,objekte,1,sentence_generation
Was bedeutet 'entscheiden_var111'?,Etwas Neues schaffen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'entscheiden_var111'?,aktionen,aktionen,4,categorization
Verwende 'entscheiden_var111' in einem Satz.,Ich entscheiden_var111 darüber.,aktionen,4,sentence_generation
Verwende 'entscheiden_var111' in einem Satz.,Wir müssen entscheiden_var111.,aktionen,4,sentence_generation
Was bedeutet 'dannobwohl'?,Verbindung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'dannobwohl'?,logik,logik,5,categorization
Verwende 'dannobwohl' in einem Satz.,Dannobwohl das stimmt.,logik,5,sentence_generation
Verwende 'dannobwohl' in einem Satz.,Das ist dannobwohl wahr.,logik,5,sentence_generation
Was bedeutet 'schwarz_var135'?,Mischfarbe rot-blau (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'schwarz_var135'?,farben,farben,1,categorization
Verwende 'schwarz_var135' in einem Satz.,Das ist schwarz_var135.,farben,1,sentence_generation
Verwende 'schwarz_var135' in einem Satz.,Ich sehe etwas schwarz_var135es.,farben,1,sentence_generation
Was bedeutet 'nichtalle'?,Verbindung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'nichtalle'?,logik,logik,5,categorization
Verwende 'nichtalle' in einem Satz.,Nichtalle das stimmt.,logik,5,sentence_generation
Verwende 'nichtalle' in einem Satz.,Das ist nichtalle wahr.,logik,5,sentence_generation
Was bedeutet 'kriechen_var139'?,Sich langsam fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'kriechen_var139'?,bewegungen,bewegungen,2,categorization
Verwende 'kriechen_var139' in einem Satz.,Ich kann kriechen_var139.,bewegungen,2,sentence_generation
Verwende 'kriechen_var139' in einem Satz.,Wir kriechen_var139 zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'rollen_var128'?,Sich am Boden fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'rollen_var128'?,bewegungen,bewegungen,2,categorization
Verwende 'rollen_var128' in einem Satz.,Ich kann rollen_var128.,bewegungen,2,sentence_generation
Verwende 'rollen_var128' in einem Satz.,Wir rollen_var128 zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'laufen_var105'?,Sich schnell fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'laufen_var105'?,bewegungen,bewegungen,2,categorization
Verwende 'laufen_var105' in einem Satz.,Ich kann laufen_var105.,bewegungen,2,sentence_generation
Verwende 'laufen_var105' in einem Satz.,Wir laufen_var105 zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'satt_var118'?,Körperlich nicht in Ordnung (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'satt_var118'?,zustände,zustände,2,categorization
Verwende 'satt_var118' in einem Satz.,Ich bin satt_var118.,zustände,2,sentence_generation
Verwende 'satt_var118' in einem Satz.,Du siehst satt_var118 aus.,zustände,2,sentence_generation
Was bedeutet 'einsneun'?,Zahl 2 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'einsneun'?,zahlen,zahlen,1,categorization
Verwende 'einsneun' in einem Satz.,Ich zähle bis einsneun.,zahlen,1,sentence_generation
Verwende 'einsneun' in einem Satz.,Einsneun Dinge.,zahlen,1,sentence_generation
Was bedeutet 'dreineun'?,Zahl 10 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'dreineun'?,zahlen,zahlen,1,categorization
Verwende 'dreineun' in einem Satz.,Ich zähle bis dreineun.,zahlen,1,sentence_generation
Verwende 'dreineun' in einem Satz.,Dreineun Dinge.,zahlen,1,sentence_generation
Was bedeutet 'deshalbwenn'?,Bedingung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'deshalbwenn'?,logik,logik,5,categorization
Verwende 'deshalbwenn' in einem Satz.,Deshalbwenn das stimmt.,logik,5,sentence_generation
Verwende 'deshalbwenn' in einem Satz.,Das ist deshalbwenn wahr.,logik,5,sentence_generation
Was bedeutet 'schwarz_var116'?,Farbe der Erde (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'schwarz_var116'?,farben,farben,1,categorization
Verwende 'schwarz_var116' in einem Satz.,Das ist schwarz_var116.,farben,1,sentence_generation
Verwende 'schwarz_var116' in einem Satz.,Ich sehe etwas schwarz_var116es.,farben,1,sentence_generation
Was bedeutet 'wenn_var120'?,Schlussfolgerung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'wenn_var120'?,logik,logik,5,categorization
Verwende 'wenn_var120' in einem Satz.,Wenn_var120 das stimmt.,logik,5,sentence_generation
Verwende 'wenn_var120' in einem Satz.,Das ist wenn_var120 wahr.,logik,5,sentence_generation
Was bedeutet 'laufenspringen'?,Sich schnell fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'laufenspringen'?,bewegungen,bewegungen,2,categorization
Verwende 'laufenspringen' in einem Satz.,Ich kann laufenspringen.,bewegungen,2,sentence_generation
Verwende 'laufenspringen' in einem Satz.,Wir laufenspringen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'planen_var119'?,Vorgehensweise festlegen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'planen_var119'?,aktionen,aktionen,4,categorization
Verwende 'planen_var119' in einem Satz.,Ich planen_var119 darüber.,aktionen,4,sentence_generation
Verwende 'planen_var119' in einem Satz.,Wir müssen planen_var119.,aktionen,4,sentence_generation
Was bedeutet 'rosaweiß'?,Farbe des Himmels (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'rosaweiß'?,farben,farben,1,categorization
Verwende 'rosaweiß' in einem Satz.,Das ist rosaweiß.,farben,1,sentence_generation
Verwende 'rosaweiß' in einem Satz.,Ich sehe etwas rosaweißes.,farben,1,sentence_generation
Was bedeutet 'warmwach'?,Bedürfnis nach Schlaf (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'warmwach'?,zustände,zustände,2,categorization
Verwende 'warmwach' in einem Satz.,Ich bin warmwach.,zustände,2,sentence_generation
Verwende 'warmwach' in einem Satz.,Du siehst warmwach aus.,zustände,2,sentence_generation
Was bedeutet 'entscheidenlösen'?,Geistige Tätigkeit (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'entscheidenlösen'?,aktionen,aktionen,4,categorization
Verwende 'entscheidenlösen' in einem Satz.,Ich entscheidenlösen darüber.,aktionen,4,sentence_generation
Verwende 'entscheidenlösen' in einem Satz.,Wir müssen entscheidenlösen.,aktionen,4,sentence_generation
Was bedeutet 'einige_var138'?,Folge (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'einige_var138'?,logik,logik,5,categorization
Verwende 'einige_var138' in einem Satz.,Einige_var138 das stimmt.,logik,5,sentence_generation
Verwende 'einige_var138' in einem Satz.,Das ist einige_var138 wahr.,logik,5,sentence_generation
Was bedeutet 'neunzwei'?,Zahl 9 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'neunzwei'?,zahlen,zahlen,1,categorization
Verwende 'neunzwei' in einem Satz.,Ich zähle bis neunzwei.,zahlen,1,sentence_generation
Verwende 'neunzwei' in einem Satz.,Neunzwei Dinge.,zahlen,1,sentence_generation
Was bedeutet 'analysieren_var131'?,Qualität beurteilen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'analysieren_var131'?,aktionen,aktionen,4,categorization
Verwende 'analysieren_var131' in einem Satz.,Ich analysieren_var131 darüber.,aktionen,4,sentence_generation
Verwende 'analysieren_var131' in einem Satz.,Wir müssen analysieren_var131.,aktionen,4,sentence_generation
Was bedeutet 'tische'?,Gebäude zum Wohnen (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'tische'?,objekte,objekte,1,categorization
Verwende 'tische' in einem Satz.,Das ist ein tische.,objekte,1,sentence_generation
Verwende 'tische' in einem Satz.,Ich brauche einen tische.,objekte,1,sentence_generation
Was bedeutet 'wach'?,Nicht schläfrig,zustände,2,word_meaning
Zu welcher Kategorie gehört 'wach'?,zustände,zustände,2,categorization
Verwende 'wach' in einem Satz.,Ich bin wach.,zustände,2,sentence_generation
Verwende 'wach' in einem Satz.,Du siehst wach aus.,zustände,2,sentence_generation
Was bedeutet 'krankglücklich'?,Körperlich nicht in Ordnung (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'krankglücklich'?,zustände,zustände,2,categorization
Verwende 'krankglücklich' in einem Satz.,Ich bin krankglücklich.,zustände,2,sentence_generation
Verwende 'krankglücklich' in einem Satz.,Du siehst krankglücklich aus.,zustände,2,sentence_generation
Was bedeutet 'dreiacht'?,Zahl 10 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'dreiacht'?,zahlen,zahlen,1,categorization
Verwende 'dreiacht' in einem Satz.,Ich zähle bis dreiacht.,zahlen,1,sentence_generation
Verwende 'dreiacht' in einem Satz.,Dreiacht Dinge.,zahlen,1,sentence_generation
Was bedeutet 'lampe'?,Gerät für Licht,objekte,1,word_meaning
Zu welcher Kategorie gehört 'lampe'?,objekte,objekte,1,categorization
Verwende 'lampe' in einem Satz.,Das ist ein lampe.,objekte,1,sentence_generation
Verwende 'lampe' in einem Satz.,Ich brauche einen lampe.,objekte,1,sentence_generation
Was bedeutet 'siebenzehn'?,Zahl 9 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'siebenzehn'?,zahlen,zahlen,1,categorization
Verwende 'siebenzehn' in einem Satz.,Ich zähle bis siebenzehn.,zahlen,1,sentence_generation
Verwende 'siebenzehn' in einem Satz.,Siebenzehn Dinge.,zahlen,1,sentence_generation
Was bedeutet 'satthungrig'?,Körperlich nicht in Ordnung (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'satthungrig'?,zustände,zustände,2,categorization
Verwende 'satthungrig' in einem Satz.,Ich bin satthungrig.,zustände,2,sentence_generation
Verwende 'satthungrig' in einem Satz.,Du siehst satthungrig aus.,zustände,2,sentence_generation
Was bedeutet 'tanzenlaufen'?,Sich im Wasser fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'tanzenlaufen'?,bewegungen,bewegungen,2,categorization
Verwende 'tanzenlaufen' in einem Satz.,Ich kann tanzenlaufen.,bewegungen,2,sentence_generation
Verwende 'tanzenlaufen' in einem Satz.,Wir tanzenlaufen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'oderwenn'?,Schlussfolgerung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'oderwenn'?,logik,logik,5,categorization
Verwende 'oderwenn' in einem Satz.,Oderwenn das stimmt.,logik,5,sentence_generation
Verwende 'oderwenn' in einem Satz.,Das ist oderwenn wahr.,logik,5,sentence_generation
Was bedeutet 'warmkrank'?,Hohe Temperatur (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'warmkrank'?,zustände,zustände,2,categorization
Verwende 'warmkrank' in einem Satz.,Ich bin warmkrank.,zustände,2,sentence_generation
Verwende 'warmkrank' in einem Satz.,Du siehst warmkrank aus.,zustände,2,sentence_generation
Was bedeutet 'kriechenspringen'?,Reibungslos bewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'kriechenspringen'?,bewegungen,bewegungen,2,categorization
Verwende 'kriechenspringen' in einem Satz.,Ich kann kriechenspringen.,bewegungen,2,sentence_generation
Verwende 'kriechenspringen' in einem Satz.,Wir kriechenspringen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'computer'?,Elektronisches Gerät,objekte,1,word_meaning
Zu welcher Kategorie gehört 'computer'?,objekte,objekte,1,categorization
Verwende 'computer' in einem Satz.,Das ist ein computer.,objekte,1,sentence_generation
Verwende 'computer' in einem Satz.,Ich brauche einen computer.,objekte,1,sentence_generation
Was bedeutet 'hause'?,Große Pflanze mit Stamm (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'hause'?,objekte,objekte,1,categorization
Verwende 'hause' in einem Satz.,Das ist ein hause.,objekte,1,sentence_generation
Verwende 'hause' in einem Satz.,Ich brauche einen hause.,objekte,1,sentence_generation
Was bedeutet 'entscheidenanalysieren'?,Verständlich machen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'entscheidenanalysieren'?,aktionen,aktionen,4,categorization
Verwende 'entscheidenanalysieren' in einem Satz.,Ich entscheidenanalysieren darüber.,aktionen,4,sentence_generation
Verwende 'entscheidenanalysieren' in einem Satz.,Wir müssen entscheidenanalysieren.,aktionen,4,sentence_generation
Was bedeutet 'auto_var115'?,Öffnung in der Wand (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'auto_var115'?,objekte,objekte,1,categorization
Verwende 'auto_var115' in einem Satz.,Das ist ein auto_var115.,objekte,1,sentence_generation
Verwende 'auto_var115' in einem Satz.,Ich brauche einen auto_var115.,objekte,1,sentence_generation
Was bedeutet 'gleiten'?,Reibungslos bewegen,bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'gleiten'?,bewegungen,bewegungen,2,categorization
Verwende 'gleiten' in einem Satz.,Ich kann gleiten.,bewegungen,2,sentence_generation
Verwende 'gleiten' in einem Satz.,Wir gleiten zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'undnicht'?,Bedingung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'undnicht'?,logik,logik,5,categorization
Verwende 'undnicht' in einem Satz.,Undnicht das stimmt.,logik,5,sentence_generation
Verwende 'undnicht' in einem Satz.,Das ist undnicht wahr.,logik,5,sentence_generation
Was bedeutet 'hungrig_var116'?,Niedrige Temperatur (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'hungrig_var116'?,zustände,zustände,2,categorization
Verwende 'hungrig_var116' in einem Satz.,Ich bin hungrig_var116.,zustände,2,sentence_generation
Verwende 'hungrig_var116' in einem Satz.,Du siehst hungrig_var116 aus.,zustände,2,sentence_generation
Was bedeutet 'braunorange'?,Farbe der Erde (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'braunorange'?,farben,farben,1,categorization
Verwende 'braunorange' in einem Satz.,Das ist braunorange.,farben,1,sentence_generation
Verwende 'braunorange' in einem Satz.,Ich sehe etwas braunorangees.,farben,1,sentence_generation
Was bedeutet 'baum_var114'?,Elektronisches Gerät (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'baum_var114'?,objekte,objekte,1,categorization
Verwende 'baum_var114' in einem Satz.,Das ist ein baum_var114.,objekte,1,sentence_generation
Verwende 'baum_var114' in einem Satz.,Ich brauche einen baum_var114.,objekte,1,sentence_generation
Was bedeutet 'autoe'?,Sammlung von Seiten (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'autoe'?,objekte,objekte,1,categorization
Verwende 'autoe' in einem Satz.,Das ist ein autoe.,objekte,1,sentence_generation
Verwende 'autoe' in einem Satz.,Ich brauche einen autoe.,objekte,1,sentence_generation
Was bedeutet 'fliegentanzen'?,Sich am Boden fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'fliegentanzen'?,bewegungen,bewegungen,2,categorization
Verwende 'fliegentanzen' in einem Satz.,Ich kann fliegentanzen.,bewegungen,2,sentence_generation
Verwende 'fliegentanzen' in einem Satz.,Wir fliegentanzen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'achtsechs'?,Zahl 3 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'achtsechs'?,zahlen,zahlen,1,categorization
Verwende 'achtsechs' in einem Satz.,Ich zähle bis achtsechs.,zahlen,1,sentence_generation
Verwende 'achtsechs' in einem Satz.,Achtsechs Dinge.,zahlen,1,sentence_generation
Was bedeutet 'violettbraun'?,Farbe der Blätter (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'violettbraun'?,farben,farben,1,categorization
Verwende 'violettbraun' in einem Satz.,Das ist violettbraun.,farben,1,sentence_generation
Verwende 'violettbraun' in einem Satz.,Ich sehe etwas violettbraunes.,farben,1,sentence_generation
Was bedeutet 'springenfliegen'?,Sich schnell fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'springenfliegen'?,bewegungen,bewegungen,2,categorization
Verwende 'springenfliegen' in einem Satz.,Ich kann springenfliegen.,bewegungen,2,sentence_generation
Verwende 'springenfliegen' in einem Satz.,Wir springenfliegen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'entscheidenerschaffen'?,Qualität beurteilen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'entscheidenerschaffen'?,aktionen,aktionen,4,categorization
Verwende 'entscheidenerschaffen' in einem Satz.,Ich entscheidenerschaffen darüber.,aktionen,4,sentence_generation
Verwende 'entscheidenerschaffen' in einem Satz.,Wir müssen entscheidenerschaffen.,aktionen,4,sentence_generation
Was bedeutet 'orangeweiß'?,Mischfarbe rot-gelb (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'orangeweiß'?,farben,farben,1,categorization
Verwende 'orangeweiß' in einem Satz.,Das ist orangeweiß.,farben,1,sentence_generation
Verwende 'orangeweiß' in einem Satz.,Ich sehe etwas orangeweißes.,farben,1,sentence_generation
Was bedeutet 'lampetisch'?,Möbel zum Arbeiten (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'lampetisch'?,objekte,objekte,1,categorization
Verwende 'lampetisch' in einem Satz.,Das ist ein lampetisch.,objekte,1,sentence_generation
Verwende 'lampetisch' in einem Satz.,Ich brauche einen lampetisch.,objekte,1,sentence_generation
Was bedeutet 'bewertenerklären'?,Systematisch untersuchen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'bewertenerklären'?,aktionen,aktionen,4,categorization
Verwende 'bewertenerklären' in einem Satz.,Ich bewertenerklären darüber.,aktionen,4,sentence_generation
Verwende 'bewertenerklären' in einem Satz.,Wir müssen bewertenerklären.,aktionen,4,sentence_generation
Was bedeutet 'traurigsatt'?,Niedrige Temperatur (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'traurigsatt'?,zustände,zustände,2,categorization
Verwende 'traurigsatt' in einem Satz.,Ich bin traurigsatt.,zustände,2,sentence_generation
Verwende 'traurigsatt' in einem Satz.,Du siehst traurigsatt aus.,zustände,2,sentence_generation
Was bedeutet 'wach_var111'?,Nicht schläfrig (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'wach_var111'?,zustände,zustände,2,categorization
Verwende 'wach_var111' in einem Satz.,Ich bin wach_var111.,zustände,2,sentence_generation
Verwende 'wach_var111' in einem Satz.,Du siehst wach_var111 aus.,zustände,2,sentence_generation
Was bedeutet 'buchauto'?,Fahrzeug für Straßen (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'buchauto'?,objekte,objekte,1,categorization
Verwende 'buchauto' in einem Satz.,Das ist ein buchauto.,objekte,1,sentence_generation
Verwende 'buchauto' in einem Satz.,Ich brauche einen buchauto.,objekte,1,sentence_generation
Was bedeutet 'haus_var135'?,Große Pflanze mit Stamm (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'haus_var135'?,objekte,objekte,1,categorization
Verwende 'haus_var135' in einem Satz.,Das ist ein haus_var135.,objekte,1,sentence_generation
Verwende 'haus_var135' in einem Satz.,Ich brauche einen haus_var135.,objekte,1,sentence_generation
Was bedeutet 'lernen'?,Wissen aufnehmen,aktionen,4,word_meaning
Zu welcher Kategorie gehört 'lernen'?,aktionen,aktionen,4,categorization
Verwende 'lernen' in einem Satz.,Ich lernen darüber.,aktionen,4,sentence_generation
Verwende 'lernen' in einem Satz.,Wir müssen lernen.,aktionen,4,sentence_generation
Was bedeutet 'dreisieben'?,Zahl 3 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'dreisieben'?,zahlen,zahlen,1,categorization
Verwende 'dreisieben' in einem Satz.,Ich zähle bis dreisieben.,zahlen,1,sentence_generation
Verwende 'dreisieben' in einem Satz.,Dreisieben Dinge.,zahlen,1,sentence_generation
Was bedeutet 'nichtoder'?,Folge (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'nichtoder'?,logik,logik,5,categorization
Verwende 'nichtoder' in einem Satz.,Nichtoder das stimmt.,logik,5,sentence_generation
Verwende 'nichtoder' in einem Satz.,Das ist nichtoder wahr.,logik,5,sentence_generation
Was bedeutet 'denken'?,Geistige Tätigkeit,aktionen,4,word_meaning
Zu welcher Kategorie gehört 'denken'?,aktionen,aktionen,4,categorization
Verwende 'denken' in einem Satz.,Ich denken darüber.,aktionen,4,sentence_generation
Verwende 'denken' in einem Satz.,Wir müssen denken.,aktionen,4,sentence_generation
Was bedeutet 'kalttraurig'?,Bedürfnis nach Schlaf (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'kalttraurig'?,zustände,zustände,2,categorization
Verwende 'kalttraurig' in einem Satz.,Ich bin kalttraurig.,zustände,2,sentence_generation
Verwende 'kalttraurig' in einem Satz.,Du siehst kalttraurig aus.,zustände,2,sentence_generation
Was bedeutet 'springenlaufen'?,Reibungslos bewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'springenlaufen'?,bewegungen,bewegungen,2,categorization
Verwende 'springenlaufen' in einem Satz.,Ich kann springenlaufen.,bewegungen,2,sentence_generation
Verwende 'springenlaufen' in einem Satz.,Wir springenlaufen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'schwarzweiß'?,Farbe der Sonne (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'schwarzweiß'?,farben,farben,1,categorization
Verwende 'schwarzweiß' in einem Satz.,Das ist schwarzweiß.,farben,1,sentence_generation
Verwende 'schwarzweiß' in einem Satz.,Ich sehe etwas schwarzweißes.,farben,1,sentence_generation
Was bedeutet 'wenn_var116'?,Bedingung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'wenn_var116'?,logik,logik,5,categorization
Verwende 'wenn_var116' in einem Satz.,Wenn_var116 das stimmt.,logik,5,sentence_generation
Verwende 'wenn_var116' in einem Satz.,Das ist wenn_var116 wahr.,logik,5,sentence_generation
Was bedeutet 'grünschwarz'?,Farbe der Erde (Variante),farben,1,word_meaning
