word,category,meaning,complexity,examples
viersieben,zahlen,Zahl 1 (Variante),1,"['Ich zähle bis viersieben.', 'Viersieben Dinge.', 'Das sind viersieben Objekte.']"
weildeshalb,logik,Gegensatz (Variante),5,"['Weildeshalb das stimmt.', 'Das ist weildeshalb wahr.', 'Weildeshalb bedeutet...']"
oder_var127,logik,Teilmenge (Variante),5,"['Oder_var127 das stimmt.', 'Das ist oder_var127 wahr.', 'Oder_var127 bedeutet...']"
traurighungrig,zustände,Negative Emotion (Variante),2,"['Ich bin traurighungrig.', 'Du siehst traurighungrig aus.', 'Traurighungrig fühlen ist normal.']"
nicht_var112,logik,Teilmenge (Variante),5,"['Nicht_var112 das stimmt.', 'Das ist nicht_var112 wahr.', 'Nicht_var112 bedeutet...']"
tisch_var138,objekte,Möbel zum Arbeiten (Variante),1,"['Das ist ein tisch_var138.', 'Ich brauche einen tisch_var138.', 'Der tisch_var138 ist hier.']"
analysierenverstehen,aktionen,Etwas Neues schaffen (Variante),4,"['Ich analysierenverstehen darüber.', 'Wir müssen analysierenverstehen.', 'Analysierenverstehen ist wichtig.']"
einsvier,zahlen,Zahl 4 (Variante),1,"['Ich zähle bis einsvier.', 'Einsvier Dinge.', 'Das sind einsvier Objekte.']"
kriechenfliegen,bewegungen,Rhythmische Bewegung (Variante),2,"['Ich kann kriechenfliegen.', 'Wir kriechenfliegen zusammen.', 'Kriechenfliegen ist eine Bewegung.']"
denken_var141,aktionen,Wahl treffen (Variante),4,"['Ich denken_var141 darüber.', 'Wir müssen denken_var141.', 'Denken_var141 ist wichtig.']"
müde_var140,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin müde_var140.', 'Du siehst müde_var140 aus.', 'Müde_var140 fühlen ist normal.']"
warmmüde,zustände,Bedürfnis nach Nahrung (Variante),2,"['Ich bin warmmüde.', 'Du siehst warmmüde aus.', 'Warmmüde fühlen ist normal.']"
gleitenfliegen,bewegungen,Sich am Boden fortbewegen (Variante),2,"['Ich kann gleitenfliegen.', 'Wir gleitenfliegen zusammen.', 'Gleitenfliegen ist eine Bewegung.']"
alleobwohl,logik,Begründung (Variante),5,"['Alleobwohl das stimmt.', 'Das ist alleobwohl wahr.', 'Alleobwohl bedeutet...']"
oder_var132,logik,Vollständige Menge (Variante),5,"['Oder_var132 das stimmt.', 'Das ist oder_var132 wahr.', 'Oder_var132 bedeutet...']"
entscheidenerklären,aktionen,Problem beheben (Variante),4,"['Ich entscheidenerklären darüber.', 'Wir müssen entscheidenerklären.', 'Entscheidenerklären ist wichtig.']"
rosabraun,farben,Abwesenheit von Licht (Variante),1,"['Das ist rosabraun.', 'Ich sehe etwas rosabraunes.', 'Rosabraun ist eine Farbe.']"
deshalb_var111,logik,Negation (Variante),5,"['Deshalb_var111 das stimmt.', 'Das ist deshalb_var111 wahr.', 'Deshalb_var111 bedeutet...']"
blauweiß,farben,Mischfarbe rot-blau (Variante),1,"['Das ist blauweiß.', 'Ich sehe etwas blauweißes.', 'Blauweiß ist eine Farbe.']"
wennobwohl,logik,Vollständige Menge (Variante),5,"['Wennobwohl das stimmt.', 'Das ist wennobwohl wahr.', 'Wennobwohl bedeutet...']"
fliegenlaufen,bewegungen,Sich durch die Luft bewegen (Variante),2,"['Ich kann fliegenlaufen.', 'Wir fliegenlaufen zusammen.', 'Fliegenlaufen ist eine Bewegung.']"
planenerklären,aktionen,Problem beheben (Variante),4,"['Ich planenerklären darüber.', 'Wir müssen planenerklären.', 'Planenerklären ist wichtig.']"
lampe_var127,objekte,Fahrzeug für Straßen (Variante),1,"['Das ist ein lampe_var127.', 'Ich brauche einen lampe_var127.', 'Der lampe_var127 ist hier.']"
telefon_var111,objekte,Möbel zum Arbeiten (Variante),1,"['Das ist ein telefon_var111.', 'Ich brauche einen telefon_var111.', 'Der telefon_var111 ist hier.']"
stuhllampe,objekte,Elektronisches Gerät (Variante),1,"['Das ist ein stuhllampe.', 'Ich brauche einen stuhllampe.', 'Der stuhllampe ist hier.']"
springen_var141,bewegungen,Sich im Wasser fortbewegen (Variante),2,"['Ich kann springen_var141.', 'Wir springen_var141 zusammen.', 'Springen_var141 ist eine Bewegung.']"
laufenkriechen,bewegungen,Sich schnell fortbewegen (Variante),2,"['Ich kann laufenkriechen.', 'Wir laufenkriechen zusammen.', 'Laufenkriechen ist eine Bewegung.']"
gelbrosa,farben,Mischfarbe rot-gelb (Variante),1,"['Das ist gelbrosa.', 'Ich sehe etwas gelbrosaes.', 'Gelbrosa ist eine Farbe.']"
lampe_var118,objekte,Fahrzeug für Straßen (Variante),1,"['Das ist ein lampe_var118.', 'Ich brauche einen lampe_var118.', 'Der lampe_var118 ist hier.']"
weiß_var129,farben,Farbe der Erde (Variante),1,"['Das ist weiß_var129.', 'Ich sehe etwas weiß_var129es.', 'Weiß_var129 ist eine Farbe.']"
gelb_var120,farben,Alle Farben gemischt (Variante),1,"['Das ist gelb_var120.', 'Ich sehe etwas gelb_var120es.', 'Gelb_var120 ist eine Farbe.']"
bewerten_var102,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich bewerten_var102 darüber.', 'Wir müssen bewerten_var102.', 'Bewerten_var102 ist wichtig.']"
glücklichsatt,zustände,Negative Emotion (Variante),2,"['Ich bin glücklichsatt.', 'Du siehst glücklichsatt aus.', 'Glücklichsatt fühlen ist normal.']"
bewertenanalysieren,aktionen,Wissen aufnehmen (Variante),4,"['Ich bewertenanalysieren darüber.', 'Wir müssen bewertenanalysieren.', 'Bewertenanalysieren ist wichtig.']"
gelb,farben,Farbe der Sonne,1,"['Das ist gelb.', 'Ich sehe etwas gelbes.', 'Gelb ist eine Farbe.']"
schwarzorange,farben,Abwesenheit von Licht (Variante),1,"['Das ist schwarzorange.', 'Ich sehe etwas schwarzorangees.', 'Schwarzorange ist eine Farbe.']"
analysierenerklären,aktionen,Etwas Neues schaffen (Variante),4,"['Ich analysierenerklären darüber.', 'Wir müssen analysierenerklären.', 'Analysierenerklären ist wichtig.']"
stuhlbaum,objekte,Gerät für Licht (Variante),1,"['Das ist ein stuhlbaum.', 'Ich brauche einen stuhlbaum.', 'Der stuhlbaum ist hier.']"
denkenanalysieren,aktionen,Qualität beurteilen (Variante),4,"['Ich denkenanalysieren darüber.', 'Wir müssen denkenanalysieren.', 'Denkenanalysieren ist wichtig.']"
neunsechs,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis neunsechs.', 'Neunsechs Dinge.', 'Das sind neunsechs Objekte.']"
zweisieben,zahlen,Zahl 8 (Variante),1,"['Ich zähle bis zweisieben.', 'Zweisieben Dinge.', 'Das sind zweisieben Objekte.']"
dannwenn,logik,Teilmenge (Variante),5,"['Dannwenn das stimmt.', 'Das ist dannwenn wahr.', 'Dannwenn bedeutet...']"
rollen,bewegungen,Sich drehend bewegen,2,"['Ich kann rollen.', 'Wir rollen zusammen.', 'Rollen ist eine Bewegung.']"
kriechen_var132,bewegungen,Sich im Wasser fortbewegen (Variante),2,"['Ich kann kriechen_var132.', 'Wir kriechen_var132 zusammen.', 'Kriechen_var132 ist eine Bewegung.']"
analysierenentscheiden,aktionen,Systematisch untersuchen (Variante),4,"['Ich analysierenentscheiden darüber.', 'Wir müssen analysierenentscheiden.', 'Analysierenentscheiden ist wichtig.']"
weiß_var115,farben,Mischfarbe rot-gelb (Variante),1,"['Das ist weiß_var115.', 'Ich sehe etwas weiß_var115es.', 'Weiß_var115 ist eine Farbe.']"
fliegen_var101,bewegungen,Sich langsam fortbewegen (Variante),2,"['Ich kann fliegen_var101.', 'Wir fliegen_var101 zusammen.', 'Fliegen_var101 ist eine Bewegung.']"
sechs_var128,zahlen,Zahl 2 (Variante),1,"['Ich zähle bis sechs_var128.', 'Sechs_var128 Dinge.', 'Das sind sechs_var128 Objekte.']"
dreizehn,zahlen,Zahl 8 (Variante),1,"['Ich zähle bis dreizehn.', 'Dreizehn Dinge.', 'Das sind dreizehn Objekte.']"
odernicht,logik,Gegensatz (Variante),5,"['Odernicht das stimmt.', 'Das ist odernicht wahr.', 'Odernicht bedeutet...']"
einsfünf,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis einsfünf.', 'Einsfünf Dinge.', 'Das sind einsfünf Objekte.']"
stuhltelefon,objekte,Große Pflanze mit Stamm (Variante),1,"['Das ist ein stuhltelefon.', 'Ich brauche einen stuhltelefon.', 'Der stuhltelefon ist hier.']"
braun_var119,farben,Farbe des Blutes (Variante),1,"['Das ist braun_var119.', 'Ich sehe etwas braun_var119es.', 'Braun_var119 ist eine Farbe.']"
nichtdeshalb,logik,Bedingung (Variante),5,"['Nichtdeshalb das stimmt.', 'Das ist nichtdeshalb wahr.', 'Nichtdeshalb bedeutet...']"
und_var124,logik,Teilmenge (Variante),5,"['Und_var124 das stimmt.', 'Das ist und_var124 wahr.', 'Und_var124 bedeutet...']"
orangerot,farben,Farbe des Himmels (Variante),1,"['Das ist orangerot.', 'Ich sehe etwas orangerotes.', 'Orangerot ist eine Farbe.']"
kriechenrennen,bewegungen,Sich durch die Luft bewegen (Variante),2,"['Ich kann kriechenrennen.', 'Wir kriechenrennen zusammen.', 'Kriechenrennen ist eine Bewegung.']"
gleiten_var134,bewegungen,Sich schnell fortbewegen (Variante),2,"['Ich kann gleiten_var134.', 'Wir gleiten_var134 zusammen.', 'Gleiten_var134 ist eine Bewegung.']"
fünf_var125,zahlen,Zahl 6 (Variante),1,"['Ich zähle bis fünf_var125.', 'Fünf_var125 Dinge.', 'Das sind fünf_var125 Objekte.']"
bewerten,aktionen,Qualität beurteilen,4,"['Ich bewerten darüber.', 'Wir müssen bewerten.', 'Bewerten ist wichtig.']"
laufenschwimmen,bewegungen,Sich in die Luft bewegen (Variante),2,"['Ich kann laufenschwimmen.', 'Wir laufenschwimmen zusammen.', 'Laufenschwimmen ist eine Bewegung.']"
hungrigglücklich,zustände,Körperlich in Ordnung (Variante),2,"['Ich bin hungrigglücklich.', 'Du siehst hungrigglücklich aus.', 'Hungrigglücklich fühlen ist normal.']"
gesunde,zustände,Körperlich nicht in Ordnung (Variante),2,"['Ich bin gesunde.', 'Du siehst gesunde aus.', 'Gesunde fühlen ist normal.']"
sattkalt,zustände,Negative Emotion (Variante),2,"['Ich bin sattkalt.', 'Du siehst sattkalt aus.', 'Sattkalt fühlen ist normal.']"
hungrig_var117,zustände,Bedürfnis nach Nahrung (Variante),2,"['Ich bin hungrig_var117.', 'Du siehst hungrig_var117 aus.', 'Hungrig_var117 fühlen ist normal.']"
stuhlauto,objekte,Gerät zur Kommunikation (Variante),1,"['Das ist ein stuhlauto.', 'Ich brauche einen stuhlauto.', 'Der stuhlauto ist hier.']"
entscheidenplanen,aktionen,Verständlich machen (Variante),4,"['Ich entscheidenplanen darüber.', 'Wir müssen entscheidenplanen.', 'Entscheidenplanen ist wichtig.']"
rosaviolett,farben,Farbe des Blutes (Variante),1,"['Das ist rosaviolett.', 'Ich sehe etwas rosaviolettes.', 'Rosaviolett ist eine Farbe.']"
weiß_var110,farben,Farbe des Himmels (Variante),1,"['Das ist weiß_var110.', 'Ich sehe etwas weiß_var110es.', 'Weiß_var110 ist eine Farbe.']"
schwimmenkriechen,bewegungen,Sich schnell fortbewegen (Variante),2,"['Ich kann schwimmenkriechen.', 'Wir schwimmenkriechen zusammen.', 'Schwimmenkriechen ist eine Bewegung.']"
kaltkrank,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin kaltkrank.', 'Du siehst kaltkrank aus.', 'Kaltkrank fühlen ist normal.']"
hungrige,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin hungrige.', 'Du siehst hungrige aus.', 'Hungrige fühlen ist normal.']"
grün_var137,farben,Farbe des Blutes (Variante),1,"['Das ist grün_var137.', 'Ich sehe etwas grün_var137es.', 'Grün_var137 ist eine Farbe.']"
zehnacht,zahlen,Zahl 2 (Variante),1,"['Ich zähle bis zehnacht.', 'Zehnacht Dinge.', 'Das sind zehnacht Objekte.']"
weileinige,logik,Folge (Variante),5,"['Weileinige das stimmt.', 'Das ist weileinige wahr.', 'Weileinige bedeutet...']"
computertelefon,objekte,Möbel zum Sitzen (Variante),1,"['Das ist ein computertelefon.', 'Ich brauche einen computertelefon.', 'Der computertelefon ist hier.']"
gleitenspringen,bewegungen,Rhythmische Bewegung (Variante),2,"['Ich kann gleitenspringen.', 'Wir gleitenspringen zusammen.', 'Gleitenspringen ist eine Bewegung.']"
schwarzrot,farben,Alle Farben gemischt (Variante),1,"['Das ist schwarzrot.', 'Ich sehe etwas schwarzrotes.', 'Schwarzrot ist eine Farbe.']"
stuhlhaus,objekte,Möbel zum Sitzen (Variante),1,"['Das ist ein stuhlhaus.', 'Ich brauche einen stuhlhaus.', 'Der stuhlhaus ist hier.']"
müde,zustände,Bedürfnis nach Schlaf,2,"['Ich bin müde.', 'Du siehst müde aus.', 'Müde fühlen ist normal.']"
wennund,logik,Gegensatz (Variante),5,"['Wennund das stimmt.', 'Das ist wennund wahr.', 'Wennund bedeutet...']"
tanzengehen,bewegungen,Sich am Boden fortbewegen (Variante),2,"['Ich kann tanzengehen.', 'Wir tanzengehen zusammen.', 'Tanzengehen ist eine Bewegung.']"
schwimmenspringen,bewegungen,Reibungslos bewegen (Variante),2,"['Ich kann schwimmenspringen.', 'Wir schwimmenspringen zusammen.', 'Schwimmenspringen ist eine Bewegung.']"
nichte,logik,Schlussfolgerung (Variante),5,"['Nichte das stimmt.', 'Das ist nichte wahr.', 'Nichte bedeutet...']"
fliegen_var140,bewegungen,Sich in die Luft bewegen (Variante),2,"['Ich kann fliegen_var140.', 'Wir fliegen_var140 zusammen.', 'Fliegen_var140 ist eine Bewegung.']"
gelbgrün,farben,Farbe der Sonne (Variante),1,"['Das ist gelbgrün.', 'Ich sehe etwas gelbgrünes.', 'Gelbgrün ist eine Farbe.']"
krankgesund,zustände,Negative Emotion (Variante),2,"['Ich bin krankgesund.', 'Du siehst krankgesund aus.', 'Krankgesund fühlen ist normal.']"
hungrigmüde,zustände,Gefühl nach dem Essen (Variante),2,"['Ich bin hungrigmüde.', 'Du siehst hungrigmüde aus.', 'Hungrigmüde fühlen ist normal.']"
und,logik,Verbindung,5,"['Und das stimmt.', 'Das ist und wahr.', 'Und bedeutet...']"
sechseins,zahlen,Zahl 3 (Variante),1,"['Ich zähle bis sechseins.', 'Sechseins Dinge.', 'Das sind sechseins Objekte.']"
stuhl,objekte,Möbel zum Sitzen,1,"['Das ist ein stuhl.', 'Ich brauche einen stuhl.', 'Der stuhl ist hier.']"
warm_var134,zustände,Niedrige Temperatur (Variante),2,"['Ich bin warm_var134.', 'Du siehst warm_var134 aus.', 'Warm_var134 fühlen ist normal.']"
weiß_var122,farben,Abwesenheit von Licht (Variante),1,"['Das ist weiß_var122.', 'Ich sehe etwas weiß_var122es.', 'Weiß_var122 ist eine Farbe.']"
bewertendenken,aktionen,Wissen aufnehmen (Variante),4,"['Ich bewertendenken darüber.', 'Wir müssen bewertendenken.', 'Bewertendenken ist wichtig.']"
fensterhaus,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein fensterhaus.', 'Ich brauche einen fensterhaus.', 'Der fensterhaus ist hier.']"
kriechen_var133,bewegungen,Rhythmische Bewegung (Variante),2,"['Ich kann kriechen_var133.', 'Wir kriechen_var133 zusammen.', 'Kriechen_var133 ist eine Bewegung.']"
dann_var129,logik,Begründung (Variante),5,"['Dann_var129 das stimmt.', 'Das ist dann_var129 wahr.', 'Dann_var129 bedeutet...']"
hauscomputer,objekte,Möbel zum Sitzen (Variante),1,"['Das ist ein hauscomputer.', 'Ich brauche einen hauscomputer.', 'Der hauscomputer ist hier.']"
fensterbaum,objekte,Große Pflanze mit Stamm (Variante),1,"['Das ist ein fensterbaum.', 'Ich brauche einen fensterbaum.', 'Der fensterbaum ist hier.']"
schwimmen,bewegungen,Sich im Wasser fortbewegen,2,"['Ich kann schwimmen.', 'Wir schwimmen zusammen.', 'Schwimmen ist eine Bewegung.']"
computer_var112,objekte,Fahrzeug für Straßen (Variante),1,"['Das ist ein computer_var112.', 'Ich brauche einen computer_var112.', 'Der computer_var112 ist hier.']"
gehenkriechen,bewegungen,Sich langsam fortbewegen (Variante),2,"['Ich kann gehenkriechen.', 'Wir gehenkriechen zusammen.', 'Gehenkriechen ist eine Bewegung.']"
nichtobwohl,logik,Begründung (Variante),5,"['Nichtobwohl das stimmt.', 'Das ist nichtobwohl wahr.', 'Nichtobwohl bedeutet...']"
rote,farben,Farbe des Blutes (Variante),1,"['Das ist rote.', 'Ich sehe etwas rotees.', 'Rote ist eine Farbe.']"
sattglücklich,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin sattglücklich.', 'Du siehst sattglücklich aus.', 'Sattglücklich fühlen ist normal.']"
sechsneun,zahlen,Zahl 10 (Variante),1,"['Ich zähle bis sechsneun.', 'Sechsneun Dinge.', 'Das sind sechsneun Objekte.']"
weildann,logik,Gegensatz (Variante),5,"['Weildann das stimmt.', 'Das ist weildann wahr.', 'Weildann bedeutet...']"
braunrot,farben,Farbe der Sonne (Variante),1,"['Das ist braunrot.', 'Ich sehe etwas braunrotes.', 'Braunrot ist eine Farbe.']"
baum_var134,objekte,Große Pflanze mit Stamm (Variante),1,"['Das ist ein baum_var134.', 'Ich brauche einen baum_var134.', 'Der baum_var134 ist hier.']"
neun_var141,zahlen,Zahl 2 (Variante),1,"['Ich zähle bis neun_var141.', 'Neun_var141 Dinge.', 'Das sind neun_var141 Objekte.']"
grün_var124,farben,Farbe der Sonne (Variante),1,"['Das ist grün_var124.', 'Ich sehe etwas grün_var124es.', 'Grün_var124 ist eine Farbe.']"
glücklichwach,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin glücklichwach.', 'Du siehst glücklichwach aus.', 'Glücklichwach fühlen ist normal.']"
schwarzgelb,farben,Helle rote Farbe (Variante),1,"['Das ist schwarzgelb.', 'Ich sehe etwas schwarzgelbes.', 'Schwarzgelb ist eine Farbe.']"
sechs_var115,zahlen,Zahl 10 (Variante),1,"['Ich zähle bis sechs_var115.', 'Sechs_var115 Dinge.', 'Das sind sechs_var115 Objekte.']"
hausfenster,objekte,Öffnung in der Wand (Variante),1,"['Das ist ein hausfenster.', 'Ich brauche einen hausfenster.', 'Der hausfenster ist hier.']"
gesundwach,zustände,Körperlich in Ordnung (Variante),2,"['Ich bin gesundwach.', 'Du siehst gesundwach aus.', 'Gesundwach fühlen ist normal.']"
autotelefon,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein autotelefon.', 'Ich brauche einen autotelefon.', 'Der autotelefon ist hier.']"
nichtwenn,logik,Bedingung (Variante),5,"['Nichtwenn das stimmt.', 'Das ist nichtwenn wahr.', 'Nichtwenn bedeutet...']"
rotblau,farben,Alle Farben gemischt (Variante),1,"['Das ist rotblau.', 'Ich sehe etwas rotblaues.', 'Rotblau ist eine Farbe.']"
wachkrank,zustände,Körperlich nicht in Ordnung (Variante),2,"['Ich bin wachkrank.', 'Du siehst wachkrank aus.', 'Wachkrank fühlen ist normal.']"
orange_var128,farben,Farbe der Erde (Variante),1,"['Das ist orange_var128.', 'Ich sehe etwas orange_var128es.', 'Orange_var128 ist eine Farbe.']"
denkenentscheiden,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich denkenentscheiden darüber.', 'Wir müssen denkenentscheiden.', 'Denkenentscheiden ist wichtig.']"
eins_var134,zahlen,Zahl 1 (Variante),1,"['Ich zähle bis eins_var134.', 'Eins_var134 Dinge.', 'Das sind eins_var134 Objekte.']"
lampehaus,objekte,Fahrzeug für Straßen (Variante),1,"['Das ist ein lampehaus.', 'Ich brauche einen lampehaus.', 'Der lampehaus ist hier.']"
planenlösen,aktionen,Systematisch untersuchen (Variante),4,"['Ich planenlösen darüber.', 'Wir müssen planenlösen.', 'Planenlösen ist wichtig.']"
buch_var116,objekte,Gerät zur Kommunikation (Variante),1,"['Das ist ein buch_var116.', 'Ich brauche einen buch_var116.', 'Der buch_var116 ist hier.']"
bewertenverstehen,aktionen,Geistige Tätigkeit (Variante),4,"['Ich bewertenverstehen darüber.', 'Wir müssen bewertenverstehen.', 'Bewertenverstehen ist wichtig.']"
grünweiß,farben,Farbe der Erde (Variante),1,"['Das ist grünweiß.', 'Ich sehe etwas grünweißes.', 'Grünweiß ist eine Farbe.']"
gleiten_var135,bewegungen,Sehr schnell laufen (Variante),2,"['Ich kann gleiten_var135.', 'Wir gleiten_var135 zusammen.', 'Gleiten_var135 ist eine Bewegung.']"
tischhaus,objekte,Gerät für Licht (Variante),1,"['Das ist ein tischhaus.', 'Ich brauche einen tischhaus.', 'Der tischhaus ist hier.']"
blaurosa,farben,Farbe des Himmels (Variante),1,"['Das ist blaurosa.', 'Ich sehe etwas blaurosaes.', 'Blaurosa ist eine Farbe.']"
einssechs,zahlen,Zahl 9 (Variante),1,"['Ich zähle bis einssechs.', 'Einssechs Dinge.', 'Das sind einssechs Objekte.']"
computerauto,objekte,Sammlung von Seiten (Variante),1,"['Das ist ein computerauto.', 'Ich brauche einen computerauto.', 'Der computerauto ist hier.']"
dannweil,logik,Folge (Variante),5,"['Dannweil das stimmt.', 'Das ist dannweil wahr.', 'Dannweil bedeutet...']"
fensterstuhl,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein fensterstuhl.', 'Ich brauche einen fensterstuhl.', 'Der fensterstuhl ist hier.']"
orange,farben,Mischfarbe rot-gelb,1,"['Das ist orange.', 'Ich sehe etwas orangees.', 'Orange ist eine Farbe.']"
telefonauto,objekte,Gerät zur Kommunikation (Variante),1,"['Das ist ein telefonauto.', 'Ich brauche einen telefonauto.', 'Der telefonauto ist hier.']"
zehndrei,zahlen,Zahl 1 (Variante),1,"['Ich zähle bis zehndrei.', 'Zehndrei Dinge.', 'Das sind zehndrei Objekte.']"
krank,zustände,Körperlich nicht in Ordnung,2,"['Ich bin krank.', 'Du siehst krank aus.', 'Krank fühlen ist normal.']"
analysierenplanen,aktionen,Wissen aufnehmen (Variante),4,"['Ich analysierenplanen darüber.', 'Wir müssen analysierenplanen.', 'Analysierenplanen ist wichtig.']"
undoder,logik,Folge (Variante),5,"['Undoder das stimmt.', 'Das ist undoder wahr.', 'Undoder bedeutet...']"
rennenschwimmen,bewegungen,Sich in die Luft bewegen (Variante),2,"['Ich kann rennenschwimmen.', 'Wir rennenschwimmen zusammen.', 'Rennenschwimmen ist eine Bewegung.']"
sechszwei,zahlen,Zahl 4 (Variante),1,"['Ich zähle bis sechszwei.', 'Sechszwei Dinge.', 'Das sind sechszwei Objekte.']"
dannnicht,logik,Schlussfolgerung (Variante),5,"['Dannnicht das stimmt.', 'Das ist dannnicht wahr.', 'Dannnicht bedeutet...']"
tischfenster,objekte,Möbel zum Arbeiten (Variante),1,"['Das ist ein tischfenster.', 'Ich brauche einen tischfenster.', 'Der tischfenster ist hier.']"
fenstere,objekte,Sammlung von Seiten (Variante),1,"['Das ist ein fenstere.', 'Ich brauche einen fenstere.', 'Der fenstere ist hier.']"
weißgelb,farben,Abwesenheit von Licht (Variante),1,"['Das ist weißgelb.', 'Ich sehe etwas weißgelbes.', 'Weißgelb ist eine Farbe.']"
oderweil,logik,Negation (Variante),5,"['Oderweil das stimmt.', 'Das ist oderweil wahr.', 'Oderweil bedeutet...']"
gelb_var133,farben,Alle Farben gemischt (Variante),1,"['Das ist gelb_var133.', 'Ich sehe etwas gelb_var133es.', 'Gelb_var133 ist eine Farbe.']"
hausbaum,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein hausbaum.', 'Ich brauche einen hausbaum.', 'Der hausbaum ist hier.']"
computerfenster,objekte,Öffnung in der Wand (Variante),1,"['Das ist ein computerfenster.', 'Ich brauche einen computerfenster.', 'Der computerfenster ist hier.']"
tanzen,bewegungen,Rhythmische Bewegung,2,"['Ich kann tanzen.', 'Wir tanzen zusammen.', 'Tanzen ist eine Bewegung.']"
wenn_var140,logik,Begründung (Variante),5,"['Wenn_var140 das stimmt.', 'Das ist wenn_var140 wahr.', 'Wenn_var140 bedeutet...']"
baumbuch,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein baumbuch.', 'Ich brauche einen baumbuch.', 'Der baumbuch ist hier.']"
einigewenn,logik,Begründung (Variante),5,"['Einigewenn das stimmt.', 'Das ist einigewenn wahr.', 'Einigewenn bedeutet...']"
tischtelefon,objekte,Möbel zum Arbeiten (Variante),1,"['Das ist ein tischtelefon.', 'Ich brauche einen tischtelefon.', 'Der tischtelefon ist hier.']"
denken_var101,aktionen,Problem beheben (Variante),4,"['Ich denken_var101 darüber.', 'Wir müssen denken_var101.', 'Denken_var101 ist wichtig.']"
haustelefon,objekte,Fahrzeug für Straßen (Variante),1,"['Das ist ein haustelefon.', 'Ich brauche einen haustelefon.', 'Der haustelefon ist hier.']"
kalt_var133,zustände,Niedrige Temperatur (Variante),2,"['Ich bin kalt_var133.', 'Du siehst kalt_var133 aus.', 'Kalt_var133 fühlen ist normal.']"
rosaorange,farben,Farbe der Sonne (Variante),1,"['Das ist rosaorange.', 'Ich sehe etwas rosaorangees.', 'Rosaorange ist eine Farbe.']"
laufen_var130,bewegungen,Sich am Boden fortbewegen (Variante),2,"['Ich kann laufen_var130.', 'Wir laufen_var130 zusammen.', 'Laufen_var130 ist eine Bewegung.']"
rosa,farben,Helle rote Farbe,1,"['Das ist rosa.', 'Ich sehe etwas rosaes.', 'Rosa ist eine Farbe.']"
oderobwohl,logik,Bedingung (Variante),5,"['Oderobwohl das stimmt.', 'Das ist oderobwohl wahr.', 'Oderobwohl bedeutet...']"
sieben_var129,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis sieben_var129.', 'Sieben_var129 Dinge.', 'Das sind sieben_var129 Objekte.']"
rennenfliegen,bewegungen,Sehr schnell laufen (Variante),2,"['Ich kann rennenfliegen.', 'Wir rennenfliegen zusammen.', 'Rennenfliegen ist eine Bewegung.']"
lösen_var116,aktionen,Bedeutung erfassen (Variante),4,"['Ich lösen_var116 darüber.', 'Wir müssen lösen_var116.', 'Lösen_var116 ist wichtig.']"
müdeglücklich,zustände,Körperlich in Ordnung (Variante),2,"['Ich bin müdeglücklich.', 'Du siehst müdeglücklich aus.', 'Müdeglücklich fühlen ist normal.']"
acht,zahlen,Zahl 8,1,"['Ich zähle bis acht.', 'Acht Dinge.', 'Das sind acht Objekte.']"
obwohlalle,logik,Alternative (Variante),5,"['Obwohlalle das stimmt.', 'Das ist obwohlalle wahr.', 'Obwohlalle bedeutet...']"
krankwach,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin krankwach.', 'Du siehst krankwach aus.', 'Krankwach fühlen ist normal.']"
denkenlösen,aktionen,Verständlich machen (Variante),4,"['Ich denkenlösen darüber.', 'Wir müssen denkenlösen.', 'Denkenlösen ist wichtig.']"
verstehenanalysieren,aktionen,Bedeutung erfassen (Variante),4,"['Ich verstehenanalysieren darüber.', 'Wir müssen verstehenanalysieren.', 'Verstehenanalysieren ist wichtig.']"
stuhle,objekte,Gerät zur Kommunikation (Variante),1,"['Das ist ein stuhle.', 'Ich brauche einen stuhle.', 'Der stuhle ist hier.']"
rollenschwimmen,bewegungen,Sich durch die Luft bewegen (Variante),2,"['Ich kann rollenschwimmen.', 'Wir rollenschwimmen zusammen.', 'Rollenschwimmen ist eine Bewegung.']"
neunacht,zahlen,Zahl 3 (Variante),1,"['Ich zähle bis neunacht.', 'Neunacht Dinge.', 'Das sind neunacht Objekte.']"
laufentanzen,bewegungen,Sich schnell fortbewegen (Variante),2,"['Ich kann laufentanzen.', 'Wir laufentanzen zusammen.', 'Laufentanzen ist eine Bewegung.']"
